2026-07-26T00:28:00.825258600 | Checkout Add | E001 | qty=2
2026-07-26T00:28:00.844970900 | Checkout Add | B001 | qty=4
2026-07-26T00:28:00.847972700 | Checkout Add | E001 | qty=1
2026-07-26T00:28:00.851971900 | Checkout Add | B001 | qty=2
2026-07-26T00:28:00.857027600 | Checkout Add | E001 | qty=3
2026-07-26T00:28:00.857027600 | Checkout Add | EL001 | qty=1
2026-07-26T00:28:00.859027500 | Checkout Add | B001 | qty=3
2026-07-26T00:28:00.861027200 | Checkout Add | E001 | qty=1
2026-07-26T00:28:00.861027200 | Checkout Add | EL001 | qty=1
2026-07-26T00:29:44.444626900 | Checkout Add | E001 | qty=2
2026-07-26T00:29:44.452233400 | Checkout Add | B001 | qty=4
2026-07-26T00:29:44.456233500 | Checkout Add | E001 | qty=1
2026-07-26T00:29:44.462233800 | Checkout Add | B001 | qty=2
2026-07-26T00:29:44.466252900 | Checkout Add | E001 | qty=3
2026-07-26T00:29:44.467236300 | Checkout Add | EL001 | qty=1
2026-07-26T00:29:44.469233 | Checkout Add | B001 | qty=3
2026-07-26T00:29:44.470236800 | Checkout Add | E001 | qty=1
2026-07-26T00:29:44.471232900 | Checkout Add | EL001 | qty=1
2026-07-26T00:30:10.965912500 | Checkout Add | E001 | qty=2
2026-07-26T00:30:10.974911100 | Checkout Add | B001 | qty=4
2026-07-26T00:30:10.978063 | Checkout Add | E001 | qty=1
2026-07-26T00:30:10.984145400 | Checkout Add | B001 | qty=2
2026-07-26T00:30:10.988145900 | Checkout Add | E001 | qty=3
2026-07-26T00:30:10.988639100 | Checkout Add | EL001 | qty=1
2026-07-26T00:30:10.989647900 | Checkout Add | B001 | qty=3
2026-07-26T00:30:10.992389 | Checkout Add | E001 | qty=1
2026-07-26T00:30:10.992389 | Checkout Add | EL001 | qty=1
